189 245 137 163 0
192 260 132 217 0
217 276 141 192 0
221 299 142 213 0
171 239 128 158 0
192 262 147 173 0
213 278 136 201 0
192 255 128 185 0
170 244 128 192 0
201 276 146 186 0
195 242 128 192 0
205 263 147 192 0
180 252 121 167 0
192 283 138 183 0
200 294 138 188 0
192 277 150 177 0
200 287 136 173 0
181 255 146 183 0
192 287 141 198 0
181 305 184 209 1
158 237 133 188 1
184 300 166 231 1
171 273 162 213 1
181 297 163 224 1 
181 308 160 223 1
177 301 166 221 1
198 308 141 197 1
180 286 146 214 1
177 299 171 192 1
176 317 166 213 1
192 312 166 209 1
176 285 141 200 1
169 287 162 214 1
164 265 147 192 1
181 308 157 204 1
192 276 154 209 1
181 278 149 235 1
175 271 140 192 1
197 303 170 205 1

